"DMSO_1"	"DMSO_2"	"DMSO_3"	"DMSO_4"	"DRUGX_1"	"DRUGX_2"	"DRUGX_3"	"DRUGX_4"
"ENSG00000149313.11"	906	859	999	970	904	1064	959	847
"ENSG00000008311.16"	691	659	694	674	581	650	534	545
"ENSG00000276072.2"	6	12	3	42	38	9	58	15
"ENSG00000275700.6"	1363	1322	1495	1400	889	1066	1036	994
"ENSG00000181409.14"	30	21	22	33	20	28	25	22
"ENSG00000183044.12"	1	4	8	0	3	11	6	5
"ENSG00000165029.17"	515	510	451	465	497	582	451	495
"ENSG00000154263.18"	15	9	11	4	2	9	4	6
"ENSG00000251595.7"	52	59	65	53	57	82	63	55
"ENSG00000144452.15"	0	1	3	0	14	3	12	5
"ENSG00000179869.15"	175	125	106	121	231	170	189	188
"ENSG00000189149.12"	11	10	7	9	3	10	9	1
"ENSG00000238098.9"	7	4	7	4	6	4	3	10
"ENSG00000107331.18"	1474	1245	1329	1273	2231	2525	2376	2452
"ENSG00000167972.14"	1335	1188	1218	1342	1525	1616	1555	1730
"ENSG00000198691.14"	4	3	7	1	4	7	4	21
"ENSG00000154265.16"	3	4	3	3	4	5	5	3
"ENSG00000154262.13"	0	1	0	0	1	1	0	0
"ENSG00000064687.13"	303	322	373	349	353	442	402	403
"ENSG00000141338.15"	3	0	0	1	0	0	1	2
"ENSG00000154258.17"	4	4	2	1	4	4	4	8
"ENSG00000085563.15"	0	0	0	0	0	0	0	0
"ENSG00000135776.5"	920	785	950	909	477	533	582	427
"ENSG00000261524.1"	3	0	0	0	0	0	0	0
"ENSG00000073734.10"	33	25	35	20	17	17	8	22
"ENSG00000005471.19"	0	0	0	0	0	0	0	0
"ENSG00000004846.17"	7	9	9	2	6	15	7	4
"ENSG00000115657.14"	400	415	451	398	332	362	383	327
"ENSG00000131269.19"	302	287	334	278	289	310	271	263
"ENSG00000197150.13"	899	884	940	881	713	754	725	683
"ENSG00000150967.19"	424	462	454	439	400	440	400	408
"ENSG00000103222.20"	696	561	611	677	538	703	535	599
"ENSG00000278183.4"	2611	2469	2432	2470	2590	2745	2564	2709
"ENSG00000124574.15"	602	568	623	587	767	891	814	890
"ENSG00000121270.16"	2	0	2	4	2	1	5	6
