"DMSO_1"	"DMSO_2"	"DMSO_3"	"DMSO_4"	"DRUGX_1"	"DRUGX_2"	"DRUGX_3"	"DRUGX_4"
"ENSG00000183840.7"	196	185	191	177	125	122	102	107
"ENSG00000177464.5"	1	1	0	0	0	0	0	0
"ENSG00000135973.3"	0	1	0	0	2	0	0	0
"ENSG00000203737.5"	1	0	2	2	0	2	0	2
"ENSG00000135898.10"	4	0	0	0	0	1	0	0
"ENSG00000156097.13"	0	0	2	0	1	1	0	0
"ENSG00000180929.6"	4	1	5	3	0	2	2	4
"ENSG00000112218.9"	19	11	23	23	11	8	12	7
"ENSG00000140030.6"	5	3	3	6	0	8	4	0
"ENSG00000119714.11"	72	85	86	79	28	34	49	34
"ENSG00000119737.6"	45	38	36	33	16	42	13	17
"ENSG00000155269.12"	8	5	4	12	9	6	5	17
"ENSG00000232374.5"	1	0	1	0	0	0	2	0
"ENSG00000171657.6"	4	4	6	5	6	6	1	4
"ENSG00000123901.9"	1	2	4	0	3	0	7	0
"ENSG00000164604.14"	11	11	20	15	5	8	10	6
"ENSG00000138271.6"	0	0	0	0	0	4	2	1
"ENSG00000181656.7"	5	4	3	8	0	2	1	1
"ENSG00000117262.19"	361	350	407	390	342	464	368	366
"ENSG00000188092.15"	102	91	174	105	92	93	126	88
"ENSG00000198932.13"	23	5	15	16	16	15	16	9
"ENSG00000158301.20"	282	312	332	362	326	443	349	314
"ENSG00000198908.12"	110	143	142	137	154	167	138	114
"ENSG00000013588.9"	3039	2758	2970	2966	7695	8715	7874	7432
"ENSG00000167191.12"	145	103	115	107	68	87	73	50
"ENSG00000170412.18"	580	640	635	685	560	623	586	516
"ENSG00000111291.9"	1	1	2	3	5	1	0	2
"ENSG00000169258.7"	507	526	569	557	140	177	159	171
"ENSG00000204175.6"	0	0	0	0	0	0	0	0
"ENSG00000185477.5"	12	16	29	6	10	16	3	8
"ENSG00000169727.14"	2240	2296	2633	2612	2158	2537	2401	2262
"ENSG00000288325.1"	803	822	799	908	517	673	631	624
"ENSG00000160360.13"	701	687	722	745	999	1169	1073	1131
"ENSG00000121957.15"	1154	939	1104	1070	95	102	104	81
"ENSG00000237052.7"	4	6	28	9	28	44	3	18
"ENSG00000213654.10"	22	11	19	34	0	0	18	0
"ENSG00000167701.14"	7	17	12	9	13	13	15	11
"ENSG00000166123.14"	796	784	891	828	812	908	907	815
"ENSG00000233276.9"	4001	4712	5565	5794	6502	7660	7616	7193
"ENSG00000197582.5"	0	0	0	0	0	0	0	1
"ENSG00000176153.13"	0	0	1	3	0	1	0	0
"ENSG00000211445.13"	193	175	209	206	325	333	407	335
"ENSG00000164294.14"	2299	2018	2221	2071	2307	2508	2459	2120
"ENSG00000089351.15"	941	957	1114	1070	1220	1440	1353	1339
"ENSG00000023171.20"	272	246	251	255	507	508	497	473
"ENSG00000178075.20"	55	58	73	60	19	40	25	27
"ENSG00000175318.12"	1	0	2	0	1	0	0	0
"ENSG00000155324.10"	451	452	504	530	909	949	908	781
"ENSG00000075240.17"	388	379	385	384	486	507	489	512
"ENSG00000278301.1"	3	1	4	2	0	1	2	4
"ENSG00000154016.14"	0	2	1	0	0	0	2	4
"ENSG00000100351.17"	1	0	0	0	0	0	0	0
"ENSG00000189152.11"	0	0	0	0	1	0	0	1
"ENSG00000106070.20"	2213	2128	2315	2100	1249	1342	1226	1246
"ENSG00000115290.11"	80	81	91	90	127	130	157	149
"ENSG00000177885.15"	2208	2055	2303	2329	2420	2817	2486	2534
"ENSG00000141738.14"	75	76	77	88	33	34	53	23
"ENSG00000196208.14"	31	47	34	33	70	75	73	93
"ENSG00000141449.16"	54	38	60	63	35	44	32	30
"ENSG00000276886.4"	4935	4975	5766	5711	12232	13781	13200	12822
"ENSG00000282046.3"	4771	4026	4588	4286	9887	11268	9483	7735
"ENSG00000180875.5"	14	9	9	5	9	5	4	8
"ENSG00000262152.7"	4	3	12	6	0	0	1	0
"ENSG00000134317.18"	17	15	16	8	6	3	7	2
"ENSG00000083307.12"	0	0	1	0	0	0	0	0
"ENSG00000158055.17"	1	1	0	1	1	1	0	1
"ENSG00000137106.18"	1382	1535	1660	1848	1975	2233	2137	1945
"ENSG00000120251.22"	2	0	2	0	1	0	2	1
"ENSG00000152578.15"	4	4	2	7	0	3	3	0
"ENSG00000182771.19"	0	0	0	0	0	0	0	1
"ENSG00000152208.13"	2	4	1	0	0	0	0	0
"ENSG00000215045.9"	1	0	0	1	0	0	0	0
"ENSG00000171189.18"	6	5	1	3	0	4	0	1
"ENSG00000164418.22"	27	33	34	40	122	101	107	101
"ENSG00000149403.13"	0	0	0	0	0	0	0	0
"ENSG00000105737.10"	1331	1205	1423	1328	1632	1851	1749	1657
"ENSG00000176884.17"	3	2	5	4	4	1	1	3
"ENSG00000183454.18"	304	300	321	331	63	68	78	65
"ENSG00000273079.7"	0	0	0	0	0	0	0	0
"ENSG00000161509.14"	5	4	4	7	2	7	6	7
"ENSG00000105464.4"	5	13	11	7	0	1	2	3
"ENSG00000198785.7"	5	6	0	4	5	3	1	7
"ENSG00000116032.5"	0	2	2	2	1	1	2	3
"ENSG00000178719.17"	2856	2821	3182	3117	5272	6146	5771	5299
"ENSG00000155974.14"	65	56	51	46	73	69	78	79
"ENSG00000144596.13"	0	0	2	0	0	0	0	0
"ENSG00000068400.14"	678	598	699	660	690	786	672	732
"ENSG00000281988.1"	0	0	0	0	1	1	0	0
"ENSG00000288263.1"	0	1	0	0	0	0	0	0
"ENSG00000173020.11"	1076	1070	1218	1237	773	905	865	813
"ENSG00000100077.16"	26	14	25	26	12	26	7	10
"ENSG00000125388.20"	79	80	99	95	102	113	74	79
"ENSG00000198873.12"	310	320	315	354	232	315	280	286
"ENSG00000198055.11"	1051	1002	1053	1147	515	500	524	480
"ENSG00000215571.5"	0	0	0	0	2	0	0	0
"ENSG00000114124.3"	0	0	0	0	1	0	0	0
"ENSG00000152822.15"	1	1	2	6	3	0	4	3
"ENSG00000164082.15"	0	0	0	0	0	0	0	1
"ENSG00000124493.14"	4	1	0	0	0	0	0	0
"ENSG00000168959.15"	2	0	5	5	8	14	7	10
"ENSG00000113262.16"	4	3	5	3	2	6	8	3
"ENSG00000196277.17"	7	6	1	0	0	0	4	5
"ENSG00000179603.19"	2	1	1	2	0	0	0	2
"ENSG00000030582.18"	5894	6244	6385	6666	11564	13479	12140	11809
"ENSG00000134443.10"	0	0	0	0	0	0	1	0
"ENSG00000109519.14"	560	573	677	699	591	723	667	625
"ENSG00000164284.15"	378	360	401	393	261	292	242	239
"ENSG00000126010.6"	6	3	6	6	4	2	3	0
"ENSG00000132463.15"	2511	2331	2747	2613	2423	2987	2799	2425
"ENSG00000139835.14"	10	9	17	9	4	2	2	4
"ENSG00000105447.13"	1349	1413	1588	1619	1116	1288	1288	1274
"ENSG00000204928.3"	0	0	0	1	3	2	0	0
"ENSG00000261024.7"	3	1	0	0	8	7	3	1
"ENSG00000186088.16"	159	169	172	145	201	209	191	185
"ENSG00000167914.12"	2	4	1	3	0	0	2	0
"ENSG00000073605.19"	43	45	37	35	47	39	31	41
"ENSG00000147697.9"	3	1	0	2	0	2	0	1
"ENSG00000104518.11"	348	486	506	553	307	420	332	316
"ENSG00000278718.3"	293	144	236	221	93	143	183	165
"ENSG00000105928.16"	1213	1139	1353	1441	1065	1114	1123	1023
"ENSG00000131149.19"	692	690	686	706	558	637	618	685
"ENSG00000111305.19"	6	5	2	8	3	17	9	9
"ENSG00000169181.13"	2	4	1	3	0	4	4	7
"ENSG00000214978.8"	0	0	0	0	0	0	0	0
"ENSG00000105723.13"	1333	1482	1572	1752	1171	1380	1272	1166
"ENSG00000082701.17"	2199	1865	1976	1944	1966	2172	2062	1835
"ENSG00000100744.15"	425	360	463	406	420	451	411	334
"ENSG00000148180.22"	667	720	858	750	1572	1699	1614	1613
"ENSG00000103342.13"	5693	5005	5844	5681	4610	4993	4578	4089
"ENSG00000189369.9"	322	307	342	344	330	382	384	346
"ENSG00000104687.14"	1287	1155	1358	1270	1009	1122	1101	948
"ENSG00000243955.6"	0	0	0	0	0	0	1	0
"ENSG00000244067.3"	0	0	0	0	0	0	0	0
"ENSG00000170899.11"	90	67	82	86	117	178	116	137
"ENSG00000138780.15"	516	439	537	575	178	197	195	179
"ENSG00000197448.14"	617	702	769	752	963	1103	1106	885
"ENSG00000134184.13"	442	403	516	493	368	449	427	388
"ENSG00000213366.13"	234	193	223	208	402	443	378	361
"ENSG00000134202.12"	265	265	382	302	369	464	467	429
"ENSG00000227693.1"	0	0	0	0	0	0	0	1
"ENSG00000168765.19"	216	213	290	266	255	252	301	260
"ENSG00000134201.12"	1	3	3	0	3	1	0	0
"ENSG00000148834.13"	2785	2979	3721	3490	3130	3454	3655	2995
"ENSG00000065621.15"	37	37	37	48	62	82	89	54
"ENSG00000084207.18"	6314	6818	8208	7929	7544	8585	8236	7463
"ENSG00000257569.1"	0	0	5	0	0	0	0	0
"ENSG00000099984.12"	9	0	0	8	0	9	0	11
"ENSG00000277897.2"	0	14	0	0	0	0	0	0
"ENSG00000133433.11"	252	292	289	307	405	435	465	354
"ENSG00000278695.1"	0	0	0	0	2	0	5	0
"ENSG00000224205.2"	6	2	2	0	4	6	8	0
"ENSG00000100577.19"	166	174	175	220	198	294	233	188
"ENSG00000180613.11"	8	11	10	9	63	37	51	41
"ENSG00000121964.15"	236	167	219	228	212	251	259	225
"ENSG00000165417.12"	1577	1396	1558	1505	944	1121	990	912
"ENSG00000242441.8"	0	0	3	0	1	0	0	0
"ENSG00000140307.11"	763	901	1034	1049	672	842	773	639
"ENSG00000137947.12"	255	256	284	264	286	268	302	255
"ENSG00000153767.10"	291	270	223	248	199	212	210	184
"ENSG00000197265.9"	478	503	554	570	429	477	480	394
"ENSG00000125651.14"	1807	1772	1974	1998	1850	2119	2044	1991
"ENSG00000188342.13"	944	883	1135	1067	937	1044	1002	822
"ENSG00000251254.1"	0	1	1	0	0	1	0	0
"ENSG00000288114.1"	1040	841	995	973	1141	1185	1289	971
"ENSG00000276910.4"	403	235	417	404	208	235	219	221
"ENSG00000145736.15"	194	140	108	95	55	91	87	118
"ENSG00000275045.4"	0	58	156	141	76	59	82	16
"ENSG00000226259.11"	84	110	84	99	74	59	56	49
"ENSG00000183474.16"	223	220	188	161	90	140	82	108
"ENSG00000274675.4"	270	253	210	268	198	186	203	154
"ENSG00000111358.14"	797	791	829	851	584	665	640	588
"ENSG00000213780.11"	411	371	368	381	263	119	265	315
"ENSG00000233149.10"	0	22	15	38	22	234	14	0
"ENSG00000234370.10"	13	0	23	8	5	6	29	8
"ENSG00000236895.10"	31	14	22	24	3	28	17	26
"ENSG00000226384.10"	0	0	0	0	17	3	0	0
"ENSG00000272047.4"	539	546	637	622	613	629	613	617
"ENSG00000263001.8"	5279	4751	5123	5045	4352	5186	4621	4314
"ENSG00000277053.5"	711	475	612	523	510	644	433	393
"ENSG00000272556.4"	0	1	1	2	0	0	0	2
"ENSG00000230295.1"	2	1	6	0	0	1	0	0
"ENSG00000233369.7"	2838	2632	3038	3160	2341	2457	2160	2120
"ENSG00000224316.1"	0	0	0	0	0	0	0	0
"ENSG00000251451.1"	0	0	0	0	0	0	2	0
"ENSG00000006704.11"	911	848	863	895	614	654	540	561
"ENSG00000230583.10"	0	0	0	2	3	0	0	0
"ENSG00000196275.16"	92	112	111	92	52	80	65	86
"ENSG00000174428.19"	246	296	307	347	371	416	390	286
"ENSG00000214544.8"	0	0	0	0	2	0	1	0
"ENSG00000122034.17"	1914	1840	2261	2167	1494	1761	1714	1444
"ENSG00000077235.18"	3411	3049	3174	3100	3493	3884	3272	3766
"ENSG00000115207.15"	1417	1234	1398	1433	1073	1197	1162	1126
"ENSG00000119041.11"	721	650	747	608	495	577	563	425
"ENSG00000125484.12"	1484	1197	1395	1309	907	990	865	845
"ENSG00000148308.18"	1164	1071	1203	1280	618	757	694	601
"ENSG00000155115.7"	728	661	855	880	715	771	757	665
"ENSG00000100226.16"	1202	1056	1110	1188	757	771	729	738
"ENSG00000105793.16"	486	385	419	390	339	359	288	291
"ENSG00000172432.19"	1010	1048	1128	985	645	682	627	621
"ENSG00000130299.17"	425	460	427	494	242	273	229	249
"ENSG00000107937.19"	1793	1746	1967	1845	1816	2137	1956	1723
"ENSG00000178605.14"	1372	1589	1837	1800	1050	1303	1196	1148
"ENSG00000163607.18"	316	284	370	387	273	344	317	321
"ENSG00000075218.19"	1944	1743	1906	1871	80	98	87	86
"ENSG00000170627.11"	0	0	0	0	0	0	1	0
"ENSG00000048545.18"	8	11	7	4	9	12	10	10
"ENSG00000112599.9"	16	10	4	6	5	4	1	2
"ENSG00000138867.17"	1916	1768	1891	1821	1256	1518	1432	1315
"ENSG00000164116.17"	6	5	1	7	2	3	2	1
"ENSG00000152402.11"	3	3	1	0	1	0	0	0
"ENSG00000061918.14"	109	83	98	116	25	33	33	25
"ENSG00000123201.14"	1	0	1	0	3	0	0	1
"ENSG00000204529.5"	0	0	0	0	0	1	0	0
"ENSG00000151806.14"	759	654	768	775	456	566	495	446
"ENSG00000143774.18"	2168	2495	2880	2948	3320	4019	3727	3312
"ENSG00000144366.17"	1229	1070	1162	1202	454	508	528	457
"ENSG00000169919.17"	1115	1089	1175	1205	468	507	484	427
"ENSG00000183666.20"	28	23	17	16	4	29	27	21
"ENSG00000198237.8"	10	11	8	10	4	7	1	1
"ENSG00000253816.3"	14	12	25	19	19	14	6	17
"ENSG00000196302.5"	6	12	0	0	6	3	2	0
"ENSG00000253366.3"	0	0	3	0	0	0	0	0
"ENSG00000235558.3"	0	0	7	0	0	0	0	0
"ENSG00000215158.10"	3	9	13	11	0	2	4	5
"ENSG00000275374.1"	2	0	0	0	0	0	0	0
"ENSG00000241549.9"	6	3	5	7	7	3	2	2
"ENSG00000239650.4"	0	0	0	0	2	2	0	0
"ENSG00000236296.8"	2	9	0	2	2	1	1	0
"ENSG00000215630.6"	12	11	7	0	9	6	1	9
"ENSG00000254838.8"	3	2	4	1	3	6	2	4
"ENSG00000254781.1"	1	0	1	0	3	1	1	0
"ENSG00000179240.13"	174	144	148	167	68	74	56	74
"ENSG00000151233.11"	783	651	709	771	571	658	532	497
"ENSG00000232433.2"	0	0	0	0	0	2	0	0
"ENSG00000275026.1"	3	4	0	4	0	0	2	0
"ENSG00000235310.1"	0	0	0	0	0	1	0	0
"ENSG00000172986.13"	27	13	23	17	28	51	38	36
"ENSG00000163754.18"	1211	1058	1286	1208	1225	1430	1272	1035
"ENSG00000056998.20"	0	1	2	0	0	0	1	0
"ENSG00000170180.22"	7	1	1	0	0	0	1	0
"ENSG00000250361.9"	0	0	0	0	1	2	0	1
"ENSG00000136732.16"	5	3	2	2	1	0	4	6
"ENSG00000197465.14"	17	17	12	19	39	50	37	26
"ENSG00000104812.15"	1534	1606	1592	1453	2348	2658	2484	2515
"ENSG00000111713.3"	0	0	0	0	0	0	0	0
"ENSG00000125812.16"	554	503	498	488	388	419	439	380
"ENSG00000145649.8"	0	0	0	0	0	0	0	0
"ENSG00000113088.6"	0	0	0	0	0	0	0	0
"ENSG00000197540.8"	0	0	3	0	4	1	0	3
"ENSG00000189060.6"	48	30	64	38	16	20	24	18
"ENSG00000124610.5"	0	1	0	0	0	0	0	0
"ENSG00000184897.7"	2992	3247	3845	3885	576	733	663	596
"ENSG00000216331.2"	0	0	0	1	0	0	0	3
"ENSG00000187837.4"	116	111	154	135	437	416	455	418
"ENSG00000124575.7"	1	0	0	0	0	3	0	1
"ENSG00000168298.7"	2	5	3	4	1	0	0	2
"ENSG00000184357.5"	3	0	3	0	0	0	1	0
"ENSG00000187475.6"	0	0	0	0	0	0	0	0
"ENSG00000187166.1"	0	0	0	0	0	0	0	0
"ENSG00000188662.8"	0	0	0	0	6	0	1	2
"ENSG00000274183.2"	1	3	0	2	2	0	0	0
"ENSG00000277745.1"	0	0	0	0	0	5	4	4
"ENSG00000196787.4"	7	11	8	15	12	15	13	10
"ENSG00000274997.2"	2	2	0	1	1	0	2	1
"ENSG00000196747.5"	8	5	13	4	8	13	9	20
"ENSG00000276368.2"	1	5	0	5	0	0	0	0
"ENSG00000275221.2"	8	5	7	5	11	10	6	5
"ENSG00000276903.2"	0	0	3	3	0	0	1	3
"ENSG00000278677.2"	5	7	8	10	0	0	0	3
"ENSG00000288825.1"	0	0	0	66	305	0	323	0
"ENSG00000288859.1"	55	63	60	0	0	353	0	300
"ENSG00000184260.6"	29	28	23	15	5	1	1	3
"ENSG00000184270.6"	0	0	0	0	0	0	0	0
"ENSG00000284841.1"	107	141	194	119	132	207	116	193
"ENSG00000181218.6"	21	0	0	53	89	32	92	0
"ENSG00000278463.2"	1	1	0	0	0	1	0	0
"ENSG00000234816.2"	0	0	0	0	0	0	2	0
"ENSG00000180573.10"	75	77	88	105	692	781	750	627
"ENSG00000196866.3"	3	0	0	0	0	7	0	0
"ENSG00000277075.3"	3	1	3	5	5	11	15	11
"ENSG00000246705.5"	254	243	281	267	274	260	310	301
"ENSG00000188486.4"	6417	6428	7817	7446	1194	1361	1424	1123
"ENSG00000164032.12"	8566	9012	10585	10736	1343	1556	1581	1360
"ENSG00000105968.19"	5717	5171	5713	5877	1285	1409	1293	1227
"ENSG00000258741.6"	2	0	2	0	2	1	1	0
"ENSG00000213440.2"	0	2	0	0	0	0	0	0
"ENSG00000218502.3"	0	0	1	0	0	0	0	0
"ENSG00000288378.1"	0	1	0	0	0	0	1	0
"ENSG00000233733.1"	0	0	0	1	0	0	0	0
"ENSG00000124635.9"	5	14	8	11	37	60	46	35
"ENSG00000197903.8"	214	183	212	211	944	927	1070	922
"ENSG00000234289.6"	2	7	8	5	0	2	0	1
"ENSG00000185130.6"	2	2	5	1	3	6	2	0
"ENSG00000273703.2"	2	0	0	0	0	0	0	0
"ENSG00000233822.6"	14	7	14	6	61	52	46	64
"ENSG00000217646.1"	0	0	0	0	0	0	0	3
"ENSG00000274641.2"	5	6	4	3	0	0	2	0
"ENSG00000203814.7"	4	2	2	3	5	5	4	2
"ENSG00000220323.5"	32	4	11	14	8	37	7	13
"ENSG00000261716.3"	10	28	13	9	10	9	12	14
"ENSG00000184678.11"	32	31	35	54	362	385	367	343
"ENSG00000285449.1"	7	6	8	9	0	6	10	4
"ENSG00000196890.5"	0	3	0	7	7	4	2	0
"ENSG00000276410.4"	0	0	0	0	0	0	0	0
"ENSG00000180596.8"	16	4	6	6	92	86	106	76
"ENSG00000158373.9"	3	5	12	9	36	44	49	40
"ENSG00000274290.3"	1	0	3	1	11	23	15	13
"ENSG00000277224.3"	0	1	0	0	4	0	1	1
"ENSG00000273802.3"	5	0	1	5	2	6	4	1
"ENSG00000285480.2"	0	0	0	0	0	0	1	0
"ENSG00000223345.6"	1	0	0	0	0	3	0	2
"ENSG00000234571.3"	0	3	0	0	8	0	0	0
"ENSG00000226908.1"	0	0	0	0	0	0	0	0
"ENSG00000231787.4"	0	1	0	3	0	0	1	0
"ENSG00000101812.15"	23	39	22	17	6	5	3	8
"ENSG00000235946.2"	9	18	11	17	0	7	7	2
"ENSG00000163041.13"	4426	4310	5077	5068	2265	2698	2766	2244
"ENSG00000132475.10"	7858	8171	9625	9737	3607	4041	3903	3653
"ENSG00000168148.4"	1	0	0	0	0	0	0	0
"ENSG00000285435.3"	0	0	0	0	2	2	0	2
"ENSG00000188375.5"	0	0	0	0	0	0	0	0
"ENSG00000273213.4"	85	57	61	45	85	105	106	84
"ENSG00000275714.2"	0	0	0	0	0	2	0	0
"ENSG00000278828.2"	17	24	12	22	49	44	44	39
"ENSG00000197153.5"	2	0	0	0	0	2	0	0
"ENSG00000183598.4"	0	1	5	6	4	1	2	1
"ENSG00000203811.2"	0	0	0	0	7	0	6	10
"ENSG00000203852.4"	5	11	5	5	0	3	0	0
"ENSG00000286522.2"	2	3	5	0	0	0	1	0
"ENSG00000287080.2"	4	2	8	4	0	0	0	0
"ENSG00000197409.8"	1	2	0	2	0	0	0	14
"ENSG00000274750.3"	35	24	25	38	104	101	108	112
"ENSG00000229421.1"	0	0	0	0	0	0	0	0
"ENSG00000250966.2"	0	0	0	0	0	0	0	1
"ENSG00000275506.1"	1	0	0	0	0	0	0	0
"ENSG00000232466.1"	2	0	0	0	0	2	0	0
"ENSG00000236534.1"	1	0	0	0	0	0	0	0
"ENSG00000270433.2"	0	0	0	0	1	0	0	0
"ENSG00000213244.3"	0	2	1	2	0	1	5	5
"ENSG00000271626.1"	0	1	0	0	0	0	0	0
"ENSG00000227211.2"	0	0	0	0	0	0	0	0
"ENSG00000179101.5"	0	0	0	0	1	0	0	0
"ENSG00000235655.3"	519	498	539	461	198	247	217	217
"ENSG00000237178.2"	0	0	0	0	0	0	0	0
"ENSG00000278637.2"	0	3	0	0	0	0	0	0
"ENSG00000217862.2"	0	0	0	0	0	1	0	0
"ENSG00000197238.5"	0	0	0	0	4	2	1	0
"ENSG00000273542.2"	8	2	1	6	3	0	0	2
"ENSG00000270882.3"	20	0	6	22	71	11	14	11
"ENSG00000270276.3"	8	16	44	8	13	71	98	76
"ENSG00000197837.4"	1	3	2	0	3	2	2	3
"ENSG00000197061.5"	0	2	2	2	1	3	0	0
"ENSG00000277157.2"	0	0	0	1	0	5	0	1
"ENSG00000276966.3"	1	2	2	4	11	1	5	3
"ENSG00000158406.6"	11	10	19	15	171	183	160	195
"ENSG00000276180.2"	2	2	3	0	2	1	0	0
"ENSG00000049239.13"	1091	991	1085	1114	1330	1409	1377	1448
"ENSG00000130956.14"	1081	1058	1203	1217	1136	1402	1264	1188
"ENSG00000165996.14"	549	545	666	654	805	945	885	755
"ENSG00000206527.10"	2040	1718	1864	1888	1924	2200	2137	1721
"ENSG00000074696.13"	3344	3110	3691	3695	2385	2670	2578	2179
"ENSG00000188921.14"	11	5	6	2	3	8	5	2
"ENSG00000085382.12"	363	315	357	290	239	273	229	198
"ENSG00000131373.15"	218	207	261	242	245	250	259	194
"ENSG00000138796.18"	963	962	1093	975	530	584	612	516
"ENSG00000084754.12"	3341	3199	3824	3811	3798	4440	4320	3675
"ENSG00000251596.1"	1	0	2	0	0	0	0	0
"ENSG00000255967.1"	0	0	0	0	1	0	0	0
"ENSG00000138029.14"	1487	1366	1587	1644	1858	2155	2105	1844
"ENSG00000063854.13"	499	561	651	714	741	750	791	762
"ENSG00000103253.19"	303	381	391	387	371	503	486	468
"ENSG00000084110.11"	5	8	1	3	9	0	1	2
"ENSG00000105697.9"	1	4	3	3	0	0	1	2
"ENSG00000164107.9"	40	47	58	51	11	15	11	17
"ENSG00000116882.15"	0	0	0	0	0	0	0	0
"ENSG00000173805.16"	34	28	22	26	17	21	15	21
"ENSG00000145681.11"	0	0	2	0	0	1	0	2
"ENSG00000132702.13"	0	0	0	0	0	0	0	0
"ENSG00000140511.12"	6	6	8	6	18	11	7	17
"ENSG00000187664.9"	91	59	87	74	65	46	74	63
"ENSG00000182831.12"	2880	2550	2944	2771	2571	3065	2667	2342
"ENSG00000180423.4"	47	33	63	83	52	73	65	65
"ENSG00000170445.16"	1797	1851	2049	1984	2248	2553	2334	2070
"ENSG00000112855.17"	545	570	574	620	461	556	557	457
"ENSG00000105509.11"	6	2	5	3	3	4	0	4
"ENSG00000170961.7"	34	24	39	29	24	19	15	12
"ENSG00000103044.11"	190	209	230	235	208	314	235	245
"ENSG00000177602.5"	351	359	341	323	52	45	51	40
"ENSG00000128708.13"	1473	1411	1628	1534	573	732	687	536
"ENSG00000152240.13"	481	521	639	592	140	185	168	142
"ENSG00000137814.12"	819	753	795	797	400	418	364	303
"ENSG00000214367.10"	473	447	552	460	172	192	172	164
"ENSG00000092036.19"	564	488	596	626	146	182	178	157
"ENSG00000226967.1"	0	0	0	0	0	0	0	0
"ENSG00000249115.9"	525	532	540	573	136	165	133	145
"ENSG00000147874.11"	1435	1191	1305	1238	504	583	484	469
"ENSG00000227344.2"	0	0	0	1	0	1	0	0
"ENSG00000213397.12"	208	240	288	295	79	93	97	85
"ENSG00000131351.15"	221	273	278	299	27	47	36	33
"ENSG00000113249.14"	5	3	5	6	1	3	6	3
"ENSG00000135077.10"	9	11	3	5	1	2	2	4
"ENSG00000143575.16"	811	734	858	954	580	735	705	685
"ENSG00000188536.13"	3	0	0	0	0	0	0	3
"ENSG00000113070.8"	730	693	896	757	1820	2120	1910	1768
"ENSG00000196565.15"	0	1	0	0	1	0	0	0
"ENSG00000283847.2"	423	430	510	453	372	500	479	475
"ENSG00000086506.3"	2	2	0	3	0	4	0	2
"ENSG00000112339.15"	1432	1347	1597	1587	1212	1395	1303	1171
"ENSG00000196917.6"	8	12	3	9	3	4	2	2
"ENSG00000182782.8"	0	3	0	1	0	0	0	0
"ENSG00000004961.15"	569	574	654	680	733	791	740	658
"ENSG00000172534.14"	3824	3461	3491	3473	2222	2273	2175	2378
"ENSG00000103145.11"	601	608	812	773	262	267	271	283
"ENSG00000111727.12"	324	329	365	345	395	409	341	325
"ENSG00000228706.4"	4	0	3	0	0	0	2	0
"ENSG00000237905.1"	0	0	0	0	0	3	0	0
"ENSG00000231287.2"	1	0	0	0	0	0	2	0
"ENSG00000231941.1"	1	0	0	0	0	0	0	0
"ENSG00000227956.2"	0	0	7	0	0	0	0	0
"ENSG00000224253.1"	5	3	4	2	5	9	2	5
"ENSG00000226267.1"	0	0	0	0	0	0	1	0
"ENSG00000101336.18"	0	0	0	0	0	0	2	0
"ENSG00000180353.11"	2	0	0	0	1	3	1	0
"ENSG00000164588.8"	0	0	0	0	1	0	0	0
"ENSG00000099822.3"	80	79	64	93	241	272	262	242
"ENSG00000143630.10"	69	80	90	105	55	52	39	58
"ENSG00000263324.5"	44	22	13	15	16	4	10	18
"ENSG00000121764.12"	0	0	1	0	0	0	0	0
"ENSG00000126264.10"	1	0	2	0	2	5	2	0
"ENSG00000116478.12"	1779	1684	1895	1769	1318	1624	1563	1440
"ENSG00000100429.18"	314	322	334	304	336	363	340	423
"ENSG00000163517.15"	170	148	152	190	216	276	268	224
"ENSG00000234724.1"	2	4	1	1	0	1	0	1
"ENSG00000233012.2"	0	2	0	0	1	0	0	0
"ENSG00000196591.12"	3367	2918	3617	3389	1998	2302	1973	1730
"ENSG00000171720.10"	1115	993	1190	1191	951	988	1024	952
"ENSG00000068024.18"	339	257	330	338	198	193	202	192
"ENSG00000108840.16"	878	821	921	908	871	1047	982	950
"ENSG00000094631.22"	629	660	597	593	315	335	292	325
"ENSG00000061273.18"	2591	2625	2744	2640	2366	2699	2590	2596
"ENSG00000147099.21"	332	250	298	287	215	232	230	209
"ENSG00000048052.25"	912	750	895	801	973	1133	1038	968
"ENSG00000140287.11"	0	0	0	0	0	1	0	0
"ENSG00000111906.18"	797	827	971	1003	803	918	905	784
"ENSG00000184508.12"	205	211	238	247	192	220	188	175
"ENSG00000143321.19"	8452	8476	9790	9815	3875	4646	4203	4073
"ENSG00000167674.15"	1875	1860	2167	2336	1630	1860	1661	1769
"ENSG00000166503.9"	1637	1405	1602	1563	638	755	760	656
"ENSG00000167220.12"	503	480	613	505	496	592	559	510
"ENSG00000119431.10"	159	163	182	170	147	137	160	164
"ENSG00000069998.12"	605	595	701	673	476	523	520	500
"ENSG00000115677.18"	14922	13912	14983	14613	17448	18774	17706	17454
"ENSG00000165259.14"	104	78	106	72	70	96	96	78
"ENSG00000119285.11"	1801	1458	1567	1543	1450	1509	1524	1369
"ENSG00000155393.14"	624	615	692	685	519	629	537	522
"ENSG00000187105.9"	0	0	4	2	1	2	1	2
"ENSG00000129493.15"	883	714	812	761	1438	1486	1495	1257
"ENSG00000008869.12"	683	537	562	582	684	709	747	631
"ENSG00000068097.16"	508	464	540	506	385	425	363	373
"ENSG00000276986.2"	0	0	0	0	1	0	0	0
"ENSG00000013583.10"	804	783	912	919	969	1055	1027	955
